Body_Type,Gender,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_Efficiency,CarbonEmission
overweight,female,vegetarian,more frequently,natural gas,private,sometimes,185,rarely,6994,small,4,4,4,6,Sometimes,2079
normal,male,pescatarian,less frequently,coal,walk/bicycle,often,231,very frequently,5,small,3,18,43,3,No,3082
overweight,female,omnivore,less frequently,natural gas,walk/bicycle,often,289,never,9,small,7,6,50,9,Yes,1651
obese,male,pescatarian,more frequently,wood,walk/bicycle,never,227,very frequently,2,medium,6,18,10,23,No,3189
underweight,male,vegetarian,less frequently,electricity,walk/bicycle,often,264,rarely,18,small,5,9,7,6,No,880
underweight,male,pescatarian,twice a day,coal,public,never,51,rarely,643,medium,5,14,8,13,Yes,1130
overweight,female,vegetarian,more frequently,wood,public,never,114,never,1555,large,4,19,15,2,Sometimes,1351
normal,female,omnivore,less frequently,coal,private,sometimes,206,very frequently,5286,medium,1,5,29,21,Yes,4313
normal,female,vegan,twice a day,coal,public,sometimes,192,rarely,1580,small,3,12,24,17,Yes,1348
obese,male,omnivore,daily,electricity,public,often,59,rarely,715,medium,7,18,6,3,Sometimes,1430
obese,male,vegetarian,twice a day,wood,public,often,193,never,863,large,7,10,22,4,Yes,1844
overweight,male,vegetarian,twice a day,coal,public,often,199,rarely,1208,medium,1,8,6,15,No,1847
normal,male,omnivore,more frequently,wood,private,sometimes,208,very frequently,5000,extra large,2,18,6,18,Sometimes,4219
obese,female,vegan,twice a day,wood,private,sometimes,175,frequently,5555,extra large,5,21,35,0,No,3660
obese,female,vegetarian,less frequently,wood,private,sometimes,93,rarely,6238,extra large,6,8,26,24,Sometimes,2009
normal,female,omnivore,more frequently,electricity,private,often,255,never,5423,extra large,5,3,47,19,No,2630
normal,male,omnivore,daily,coal,walk/bicycle,sometimes,232,rarely,43,small,7,1,15,17,No,1539
overweight,female,omnivore,more frequently,electricity,private,often,259,never,723,extra large,5,17,4,7,Sometimes,1880
obese,female,vegan,twice a day,wood,private,often,166,very frequently,9722,small,3,14,21,16,No,5186
underweight,female,omnivore,more frequently,natural gas,private,often,278,rarely,2514,large,5,20,45,3,Sometimes,2224
overweight,female,omnivore,twice a day,natural gas,public,never,259,very frequently,986,small,4,8,26,2,No,2783
overweight,female,vegetarian,more frequently,coal,public,often,110,never,1386,extra large,7,19,45,13,No,2327
overweight,female,vegetarian,daily,natural gas,walk/bicycle,sometimes,104,frequently,10,medium,7,11,41,17,Sometimes,2052
normal,female,vegan,daily,coal,public,sometimes,72,very frequently,575,small,7,23,25,16,No,2359
underweight,male,omnivore,daily,electricity,walk/bicycle,sometimes,83,very frequently,4,extra large,4,7,4,24,Sometimes,2476
underweight,female,pescatarian,twice a day,wood,public,often,94,frequently,560,medium,2,21,29,16,Sometimes,1676
overweight,female,vegan,more frequently,coal,walk/bicycle,sometimes,152,never,64,small,6,7,1,7,Yes,875
underweight,female,omnivore,daily,coal,public,sometimes,222,very frequently,1946,large,1,0,43,9,Sometimes,2542
normal,female,vegan,less frequently,coal,private,never,128,frequently,7496,small,2,11,1,13,Sometimes,3076
obese,male,vegetarian,daily,electricity,public,sometimes,156,rarely,1299,large,5,7,38,8,Sometimes,2018
overweight,male,omnivore,daily,electricity,private,sometimes,274,very frequently,5958,large,1,0,29,9,Sometimes,2738
underweight,female,vegan,twice a day,natural gas,private,often,110,rarely,5739,large,4,10,48,0,No,2819
obese,male,vegetarian,daily,wood,public,never,285,rarely,559,small,6,15,1,19,Yes,1437
overweight,male,omnivore,daily,wood,private,often,294,very frequently,9488,small,5,16,20,18,Yes,3141
normal,male,pescatarian,less frequently,natural gas,private,never,214,very frequently,4550,extra large,2,0,40,3,Sometimes,4028
normal,female,pescatarian,daily,electricity,public,never,132,rarely,1015,large,1,15,12,7,Yes,933
normal,male,pescatarian,daily,wood,private,sometimes,57,frequently,257,extra large,6,23,48,15,Sometimes,2725
overweight,male,vegetarian,twice a day,electricity,public,sometimes,158,never,1090,extra large,3,19,27,5,Yes,1084
underweight,male,vegetarian,more frequently,wood,public,never,115,frequently,1004,small,1,10,27,0,Sometimes,1373
obese,female,pescatarian,less frequently,electricity,private,often,91,very frequently,7354,large,7,5,22,9,Sometimes,5672
overweight,female,vegan,more frequently,wood,walk/bicycle,often,155,very frequently,17,extra large,5,7,27,10,Yes,2760
normal,female,vegan,less frequently,wood,private,sometimes,231,rarely,4595,medium,4,16,41,10,Yes,2590
obese,female,vegetarian,daily,natural gas,walk/bicycle,never,201,rarely,67,large,1,10,2,23,No,1302
normal,male,vegan,more frequently,natural gas,walk/bicycle,often,197,very frequently,24,large,5,15,20,24,Sometimes,3040
overweight,female,omnivore,more frequently,coal,walk/bicycle,sometimes,107,rarely,50,medium,3,8,43,14,Yes,1650
underweight,female,pescatarian,twice a day,wood,walk/bicycle,often,234,never,79,medium,1,1,49,3,No,1262
underweight,female,omnivore,more frequently,coal,walk/bicycle,often,167,very frequently,50,large,3,7,19,13,Yes,2582
normal,male,omnivore,daily,natural gas,walk/bicycle,sometimes,192,rarely,88,large,6,5,19,6,Yes,1769
obese,male,pescatarian,more frequently,electricity,walk/bicycle,never,207,very frequently,61,small,6,10,11,16,Sometimes,2423
normal,male,vegan,twice a day,electricity,public,sometimes,242,very frequently,1191,medium,2,18,12,23,No,2192
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,often,196,frequently,59,large,5,12,37,12,Sometimes,2066
normal,male,pescatarian,daily,natural gas,public,often,201,never,907,medium,4,1,46,12,No,1738
obese,male,vegan,daily,electricity,private,sometimes,85,rarely,4226,small,7,15,32,12,No,3045
overweight,male,pescatarian,daily,wood,private,often,205,never,9179,small,6,0,27,6,Sometimes,4261
underweight,male,pescatarian,daily,natural gas,private,never,73,never,1536,extra large,5,23,1,0,Sometimes,1518
obese,male,pescatarian,daily,wood,private,never,249,never,6226,extra large,2,3,2,12,Sometimes,2705
obese,female,omnivore,more frequently,wood,walk/bicycle,never,56,rarely,70,extra large,2,9,9,12,Yes,1152
overweight,male,vegan,daily,coal,walk/bicycle,never,94,frequently,26,large,3,1,40,12,No,2466
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,often,109,never,62,large,5,0,23,9,Sometimes,1446
underweight,female,vegetarian,daily,natural gas,private,often,103,never,4685,small,7,10,27,8,Sometimes,1535
obese,male,vegan,more frequently,electricity,public,sometimes,240,never,1077,small,2,4,41,3,Yes,1083
overweight,male,omnivore,more frequently,electricity,walk/bicycle,sometimes,193,frequently,35,extra large,4,4,47,21,No,2558
overweight,female,vegetarian,daily,electricity,walk/bicycle,often,256,very frequently,9,small,3,17,18,21,Sometimes,2160
obese,male,pescatarian,twice a day,natural gas,private,sometimes,263,frequently,3841,extra large,1,1,4,9,No,3824
normal,male,omnivore,less frequently,wood,private,sometimes,76,rarely,9182,small,5,0,8,1,Yes,2559
normal,female,vegan,less frequently,electricity,public,never,59,very frequently,1902,extra large,5,24,33,10,Sometimes,2352
overweight,male,vegan,more frequently,natural gas,private,often,290,rarely,7564,extra large,3,4,15,7,No,4163
obese,male,pescatarian,daily,wood,private,never,207,never,1834,small,1,18,27,7,Sometimes,2059
underweight,female,pescatarian,less frequently,wood,walk/bicycle,often,101,very frequently,30,small,7,9,38,19,No,2150
normal,female,vegan,daily,coal,private,never,174,frequently,672,large,4,1,17,21,Sometimes,2010
normal,female,pescatarian,less frequently,electricity,public,sometimes,259,frequently,381,medium,3,13,7,17,Yes,1271
normal,female,vegan,daily,natural gas,private,often,87,frequently,2571,extra large,7,7,39,2,Sometimes,2365
overweight,male,pescatarian,daily,electricity,walk/bicycle,sometimes,231,rarely,93,extra large,1,1,10,15,Yes,1041
overweight,male,omnivore,twice a day,natural gas,public,often,166,never,1170,small,7,5,34,7,Sometimes,1732
obese,female,vegan,twice a day,wood,public,sometimes,106,frequently,1499,large,5,19,30,18,Sometimes,2429
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,never,191,very frequently,56,extra large,4,14,4,21,Yes,2265
overweight,male,pescatarian,more frequently,natural gas,public,never,162,rarely,1498,large,4,15,13,19,No,1608
normal,female,pescatarian,daily,wood,public,never,285,very frequently,1820,small,1,21,24,9,Yes,2269
normal,female,vegetarian,daily,natural gas,private,often,168,very frequently,2267,small,2,18,28,7,No,2662
normal,female,vegetarian,more frequently,natural gas,walk/bicycle,often,70,never,59,large,6,6,22,17,No,1376
underweight,female,omnivore,twice a day,natural gas,private,never,236,frequently,3610,small,2,12,37,22,No,1733
obese,male,pescatarian,less frequently,coal,public,often,207,very frequently,1418,medium,4,5,38,15,No,3946
underweight,female,vegetarian,twice a day,wood,private,sometimes,210,very frequently,160,small,6,10,16,8,Yes,1838
underweight,male,pescatarian,daily,natural gas,walk/bicycle,sometimes,257,never,31,medium,6,18,29,20,No,1616
underweight,male,omnivore,twice a day,electricity,private,never,241,frequently,7435,medium,7,18,37,21,No,3916
underweight,female,pescatarian,daily,wood,walk/bicycle,often,100,frequently,69,small,6,8,42,3,No,1852
underweight,male,pescatarian,less frequently,coal,private,often,70,rarely,3522,medium,1,9,49,23,No,3102
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,sometimes,139,never,6,extra large,1,23,2,11,Sometimes,974
obese,female,pescatarian,less frequently,electricity,private,often,114,never,3657,large,7,1,20,21,No,1466
overweight,female,omnivore,twice a day,natural gas,public,often,148,rarely,379,large,1,8,22,18,Yes,1353
normal,female,omnivore,more frequently,wood,private,never,197,rarely,11,small,3,9,1,11,No,751
obese,male,omnivore,twice a day,natural gas,private,sometimes,127,never,9318,medium,7,5,12,24,Yes,4617
obese,male,omnivore,more frequently,electricity,walk/bicycle,sometimes,207,rarely,98,medium,4,21,15,3,Sometimes,1407
obese,female,vegan,daily,coal,private,never,178,rarely,1270,medium,3,6,9,19,Yes,1789
normal,male,vegan,daily,wood,private,often,56,frequently,1414,medium,7,13,40,3,Yes,2441
underweight,female,omnivore,twice a day,coal,walk/bicycle,never,248,never,95,small,1,2,5,1,No,1089
obese,male,vegetarian,daily,wood,private,never,67,never,6848,extra large,3,5,30,9,Sometimes,3557
normal,male,vegetarian,less frequently,wood,private,never,87,rarely,2129,extra large,2,22,33,5,Yes,1777
obese,male,omnivore,twice a day,electricity,walk/bicycle,never,197,never,44,small,3,16,37,12,Yes,1616
normal,female,vegan,daily,electricity,private,never,50,never,2733,medium,1,13,33,10,No,1266
obese,male,vegan,daily,wood,private,never,217,rarely,625,extra large,1,16,25,19,Sometimes,1605
normal,male,omnivore,daily,natural gas,public,often,149,frequently,1694,small,3,5,49,19,Sometimes,2231
underweight,female,vegetarian,more frequently,wood,private,never,291,very frequently,9446,large,3,1,21,18,Sometimes,4042
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,often,245,very frequently,94,medium,6,12,43,7,Sometimes,2093
obese,male,vegan,less frequently,coal,private,never,218,never,4004,medium,4,18,17,18,No,1674
obese,female,pescatarian,daily,wood,walk/bicycle,sometimes,119,never,69,small,2,1,50,10,No,1281
obese,female,omnivore,less frequently,electricity,walk/bicycle,sometimes,147,rarely,74,medium,5,8,25,21,No,1422
normal,male,vegan,twice a day,wood,public,sometimes,107,very frequently,8,extra large,1,9,42,7,Yes,2745
underweight,male,pescatarian,daily,coal,walk/bicycle,never,100,never,84,medium,2,19,33,13,Sometimes,1347
normal,female,omnivore,more frequently,coal,walk/bicycle,sometimes,276,frequently,32,medium,6,18,16,14,Yes,2176
normal,female,omnivore,twice a day,wood,public,often,58,never,685,medium,7,12,37,1,No,1517
normal,female,vegetarian,more frequently,coal,public,sometimes,260,frequently,1733,large,3,20,47,2,No,2213
obese,male,omnivore,daily,coal,walk/bicycle,often,258,never,73,extra large,6,12,27,9,No,2848
overweight,male,pescatarian,daily,natural gas,private,never,109,frequently,7726,small,3,2,42,5,Yes,2006
obese,male,vegan,less frequently,natural gas,walk/bicycle,sometimes,193,very frequently,35,medium,1,11,32,17,Sometimes,2863
overweight,female,pescatarian,twice a day,electricity,private,sometimes,164,never,4410,medium,7,3,24,4,Yes,2211
normal,female,vegetarian,less frequently,natural gas,walk/bicycle,sometimes,261,never,44,large,5,14,19,9,No,1082
normal,female,pescatarian,more frequently,wood,private,often,146,rarely,3276,extra large,1,13,10,10,No,877
underweight,male,vegetarian,daily,wood,public,never,215,frequently,358,large,1,1,1,7,No,1252
obese,male,omnivore,daily,electricity,private,sometimes,105,very frequently,7567,small,6,20,35,8,Yes,4377
overweight,female,omnivore,daily,electricity,walk/bicycle,never,122,rarely,39,medium,3,18,10,6,Sometimes,1106
obese,female,pescatarian,more frequently,electricity,public,never,146,never,822,medium,3,7,48,4,Sometimes,1226
underweight,male,vegan,daily,wood,public,often,188,very frequently,1116,extra large,2,20,28,6,Sometimes,2704
normal,male,omnivore,more frequently,natural gas,walk/bicycle,never,205,very frequently,15,large,6,15,40,12,Yes,2741
underweight,female,pescatarian,more frequently,coal,public,never,145,very frequently,243,extra large,7,15,37,17,Yes,3007
normal,male,omnivore,daily,coal,private,often,283,never,8706,large,2,20,2,2,Yes,5025
normal,male,omnivore,less frequently,coal,private,sometimes,67,never,3171,small,5,0,33,0,Sometimes,2375
obese,male,pescatarian,less frequently,electricity,walk/bicycle,often,137,rarely,46,large,1,21,18,3,No,1040
overweight,male,pescatarian,daily,natural gas,public,sometimes,83,never,1080,medium,3,23,1,21,Yes,1048
underweight,male,pescatarian,daily,natural gas,private,never,210,never,8728,small,4,21,29,21,No,4179
underweight,female,vegetarian,less frequently,electricity,walk/bicycle,often,59,rarely,69,medium,3,0,12,3,Sometimes,783
underweight,female,vegetarian,daily,electricity,public,often,287,frequently,1140,large,6,20,47,7,Sometimes,2018
overweight,female,vegan,twice a day,electricity,private,never,230,never,9598,medium,6,16,37,0,Sometimes,4209
normal,female,omnivore,twice a day,electricity,public,never,265,frequently,471,large,6,4,38,16,Yes,2145
overweight,female,pescatarian,less frequently,wood,private,sometimes,108,frequently,7993,large,1,15,27,23,No,4042
normal,female,pescatarian,daily,coal,walk/bicycle,never,94,never,12,small,1,16,4,2,No,835
obese,male,pescatarian,more frequently,electricity,private,never,162,rarely,2119,large,2,3,29,11,Sometimes,2366
normal,female,vegetarian,less frequently,natural gas,private,never,111,never,9845,extra large,6,9,37,19,Sometimes,4663
underweight,female,omnivore,twice a day,electricity,walk/bicycle,often,96,frequently,43,medium,6,18,19,22,Yes,1585
normal,female,vegan,more frequently,electricity,walk/bicycle,sometimes,292,never,53,small,6,3,0,0,Sometimes,494
normal,male,pescatarian,daily,electricity,public,never,150,rarely,1571,small,7,11,2,13,Sometimes,904
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,often,262,rarely,89,extra large,3,6,42,7,Sometimes,2686
overweight,male,omnivore,daily,coal,public,sometimes,235,frequently,1278,small,3,5,30,17,No,2744
overweight,male,pescatarian,daily,wood,private,often,158,very frequently,4622,large,2,4,47,23,Yes,5271
normal,male,omnivore,daily,coal,public,sometimes,70,never,1920,extra large,6,1,27,22,Sometimes,2007
underweight,female,vegetarian,twice a day,wood,private,sometimes,76,never,1469,medium,4,4,22,19,No,1429
overweight,female,vegetarian,daily,electricity,private,never,73,frequently,185,extra large,1,0,15,18,Sometimes,1349
overweight,male,vegan,twice a day,coal,public,sometimes,94,never,1190,large,4,18,0,6,Yes,1220
normal,female,vegan,twice a day,coal,public,never,83,frequently,118,medium,6,4,32,19,Sometimes,1899
underweight,female,vegan,daily,natural gas,walk/bicycle,sometimes,257,rarely,1,small,2,17,48,17,Yes,1389
underweight,male,pescatarian,daily,coal,public,never,178,very frequently,759,large,4,9,44,20,No,3257
overweight,female,vegetarian,less frequently,wood,walk/bicycle,often,262,frequently,49,small,1,15,15,12,Yes,1385
overweight,female,vegetarian,more frequently,wood,public,often,53,never,444,large,1,0,19,9,No,897
underweight,male,vegan,daily,wood,walk/bicycle,often,276,very frequently,54,extra large,7,21,20,13,No,3281
obese,female,pescatarian,less frequently,natural gas,public,never,54,rarely,69,extra large,5,0,15,17,Sometimes,1628
overweight,female,vegetarian,more frequently,electricity,public,never,258,frequently,165,extra large,7,11,18,19,Sometimes,2343
overweight,male,omnivore,daily,coal,private,never,228,very frequently,9936,small,1,5,40,3,Sometimes,4914
normal,male,vegetarian,more frequently,coal,walk/bicycle,often,107,never,10,extra large,6,20,2,6,No,1819
obese,male,vegetarian,more frequently,natural gas,public,sometimes,82,frequently,4,medium,7,13,40,16,Sometimes,3151
normal,female,pescatarian,less frequently,natural gas,walk/bicycle,often,184,frequently,71,medium,3,14,44,9,Yes,1835
normal,male,omnivore,twice a day,coal,walk/bicycle,never,63,never,21,medium,7,15,35,12,No,1907
normal,male,vegetarian,daily,natural gas,private,sometimes,258,never,6736,medium,4,9,34,21,Yes,3226
overweight,male,pescatarian,twice a day,natural gas,private,never,58,never,8585,small,7,18,34,1,Yes,3942
underweight,male,pescatarian,daily,coal,public,sometimes,100,very frequently,1401,medium,7,4,26,12,Sometimes,3044
normal,female,vegan,daily,electricity,walk/bicycle,never,82,never,21,large,1,7,16,0,No,556
overweight,male,pescatarian,less frequently,wood,public,never,220,rarely,804,extra large,4,15,10,6,Sometimes,1622
underweight,female,vegetarian,twice a day,electricity,public,never,281,frequently,1789,extra large,2,15,45,2,No,1838
normal,female,vegetarian,less frequently,coal,public,often,97,very frequently,810,large,5,24,20,12,No,2721
obese,male,vegan,more frequently,wood,public,often,131,frequently,1032,large,6,13,25,4,Yes,2487
normal,male,pescatarian,more frequently,wood,public,sometimes,282,never,495,small,3,24,47,23,No,1648
overweight,male,vegan,less frequently,coal,private,often,173,very frequently,5391,large,4,13,2,0,No,2866
underweight,male,vegan,twice a day,coal,walk/bicycle,sometimes,186,never,94,small,1,6,3,5,Yes,773
normal,female,vegetarian,less frequently,electricity,public,sometimes,107,never,1256,medium,6,5,23,1,Sometimes,759
underweight,male,vegetarian,daily,natural gas,private,never,123,frequently,7425,medium,2,4,6,5,No,2649
obese,female,vegan,daily,electricity,public,sometimes,245,frequently,1435,medium,2,15,32,9,No,1838
overweight,male,vegan,daily,coal,walk/bicycle,sometimes,220,very frequently,69,extra large,5,18,23,8,Sometimes,3498
underweight,male,vegan,daily,wood,private,often,94,never,1104,small,6,13,22,9,Yes,1298
normal,female,vegetarian,less frequently,electricity,public,sometimes,85,very frequently,284,large,7,6,47,2,Sometimes,2394
underweight,female,pescatarian,more frequently,electricity,public,sometimes,72,never,1603,large,4,11,1,22,No,668
underweight,male,vegetarian,less frequently,wood,walk/bicycle,never,259,rarely,67,small,1,0,25,2,Yes,1096
normal,female,pescatarian,twice a day,wood,public,often,207,rarely,1507,medium,7,9,6,17,Sometimes,1594
obese,male,vegan,less frequently,electricity,private,sometimes,87,very frequently,7656,extra large,5,0,36,4,Sometimes,4633
obese,female,vegan,more frequently,wood,walk/bicycle,sometimes,156,rarely,25,extra large,2,6,16,15,No,1301
obese,female,vegan,less frequently,electricity,public,sometimes,283,never,658,extra large,1,7,50,10,Yes,1197
normal,male,vegan,twice a day,electricity,walk/bicycle,never,51,frequently,25,medium,6,13,4,20,No,1382
overweight,male,omnivore,daily,coal,walk/bicycle,never,81,very frequently,26,extra large,2,11,31,21,Sometimes,2990
underweight,male,vegetarian,less frequently,wood,private,sometimes,193,never,2716,large,5,4,35,4,Sometimes,2247
overweight,female,pescatarian,more frequently,coal,private,sometimes,57,frequently,6220,large,6,7,1,6,No,3238
underweight,female,pescatarian,daily,natural gas,walk/bicycle,sometimes,141,frequently,65,small,6,5,24,17,Sometimes,1793
normal,male,vegan,twice a day,natural gas,public,often,117,rarely,764,small,6,5,28,5,Sometimes,1580
overweight,female,vegetarian,more frequently,wood,public,often,210,never,1208,large,6,21,42,18,Yes,2100
obese,male,pescatarian,more frequently,electricity,walk/bicycle,never,293,never,75,medium,5,10,41,6,Sometimes,1563
obese,female,omnivore,less frequently,natural gas,walk/bicycle,never,78,rarely,59,small,2,22,49,17,No,1609
obese,female,pescatarian,more frequently,electricity,public,never,231,frequently,1271,medium,4,10,33,5,Yes,1872
overweight,female,omnivore,daily,wood,private,never,263,very frequently,6931,medium,4,11,30,7,Sometimes,5269
obese,male,vegetarian,daily,electricity,private,often,109,very frequently,1726,extra large,1,14,16,24,No,3237
underweight,female,vegan,twice a day,natural gas,walk/bicycle,often,136,very frequently,1,large,5,1,30,13,Yes,2328
normal,female,vegan,daily,wood,walk/bicycle,often,178,frequently,20,small,1,0,24,18,No,1551
normal,female,pescatarian,daily,natural gas,walk/bicycle,sometimes,293,very frequently,48,extra large,3,19,5,18,No,2359
normal,female,vegan,twice a day,coal,walk/bicycle,sometimes,163,rarely,31,extra large,2,9,21,24,Sometimes,1392
underweight,male,pescatarian,more frequently,natural gas,private,sometimes,128,frequently,7195,extra large,3,17,23,8,No,1899
obese,male,vegan,daily,wood,walk/bicycle,never,221,rarely,22,medium,6,5,5,2,No,1451
normal,female,vegan,less frequently,coal,private,never,187,rarely,5175,small,6,6,44,13,Yes,1650
overweight,female,vegan,daily,natural gas,private,sometimes,103,never,1457,medium,7,15,10,23,Sometimes,1301
normal,female,omnivore,daily,wood,private,sometimes,229,never,9068,extra large,7,17,36,11,Yes,3261
underweight,female,vegetarian,daily,coal,private,sometimes,205,frequently,3121,medium,4,17,10,22,Sometimes,2248
underweight,female,pescatarian,more frequently,wood,walk/bicycle,often,219,never,19,extra large,2,16,31,17,No,1433
normal,male,vegetarian,daily,wood,walk/bicycle,sometimes,69,frequently,62,medium,7,6,41,23,Sometimes,2309
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,never,256,frequently,65,medium,3,17,0,8,Yes,1908
obese,male,pescatarian,daily,coal,private,sometimes,299,never,8850,medium,6,17,9,1,Sometimes,1811
normal,male,vegetarian,twice a day,electricity,private,often,164,very frequently,9030,extra large,6,19,23,0,Yes,5145
normal,female,vegetarian,more frequently,electricity,private,sometimes,106,never,563,medium,1,2,27,1,Yes,743
overweight,female,vegan,twice a day,electricity,walk/bicycle,sometimes,195,rarely,10,extra large,1,23,0,21,Sometimes,822
overweight,male,pescatarian,daily,natural gas,private,never,116,very frequently,1777,medium,1,22,9,7,Yes,2731
obese,male,pescatarian,twice a day,coal,walk/bicycle,never,208,frequently,6,medium,6,12,1,19,Yes,2299
overweight,male,pescatarian,more frequently,coal,public,never,225,never,1228,large,3,16,16,7,Yes,1498
underweight,male,omnivore,less frequently,wood,walk/bicycle,often,205,rarely,3,large,3,15,26,21,No,1843
overweight,male,omnivore,less frequently,coal,public,sometimes,119,rarely,54,large,6,21,3,9,No,2033
overweight,male,vegetarian,daily,natural gas,walk/bicycle,sometimes,138,very frequently,65,extra large,3,24,7,16,Yes,2871
normal,female,vegetarian,twice a day,electricity,walk/bicycle,sometimes,91,never,56,medium,7,12,34,12,Sometimes,1095
overweight,female,vegetarian,less frequently,coal,public,often,243,rarely,1663,extra large,6,4,26,6,Yes,2178
obese,female,vegan,less frequently,electricity,walk/bicycle,sometimes,132,rarely,70,extra large,2,9,43,7,Yes,1461
normal,female,pescatarian,more frequently,coal,public,never,187,never,801,medium,3,6,3,12,Yes,942
overweight,male,vegan,daily,electricity,walk/bicycle,sometimes,103,rarely,7,small,4,1,8,5,Sometimes,924
overweight,female,vegan,twice a day,natural gas,public,never,140,never,1282,small,5,10,26,11,Yes,1069
obese,female,pescatarian,more frequently,electricity,walk/bicycle,sometimes,108,frequently,6,small,3,14,35,17,Yes,1652
normal,female,vegan,more frequently,electricity,public,never,170,rarely,534,extra large,2,10,7,0,Sometimes,587
underweight,male,vegan,daily,coal,private,often,248,never,7685,medium,4,12,8,16,Sometimes,1279
overweight,male,omnivore,daily,wood,private,sometimes,83,rarely,3362,extra large,7,19,3,0,Yes,3301
obese,female,vegetarian,less frequently,wood,walk/bicycle,never,199,never,73,small,1,9,9,18,No,959
underweight,female,vegetarian,less frequently,wood,private,never,239,rarely,9336,small,5,9,1,11,Yes,3491
underweight,female,vegan,twice a day,electricity,walk/bicycle,sometimes,128,never,90,small,3,19,18,8,Yes,615
normal,female,vegan,more frequently,wood,public,often,126,never,1251,medium,6,24,29,4,No,1311
overweight,female,omnivore,twice a day,wood,private,sometimes,156,very frequently,862,extra large,4,16,30,24,No,3114
overweight,female,vegetarian,daily,coal,walk/bicycle,sometimes,121,rarely,31,extra large,5,24,20,20,Yes,1898
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,sometimes,118,rarely,39,small,6,20,4,17,No,926
obese,male,omnivore,daily,natural gas,walk/bicycle,sometimes,68,very frequently,1,large,5,20,33,2,Yes,3236
normal,male,vegetarian,more frequently,coal,walk/bicycle,never,184,rarely,9,medium,1,13,30,3,Yes,1279
underweight,male,omnivore,daily,electricity,walk/bicycle,often,117,very frequently,38,medium,2,1,23,18,Yes,2034
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,often,85,very frequently,67,large,1,18,30,11,No,1975
underweight,male,vegan,daily,coal,public,often,166,frequently,1838,large,5,6,34,9,No,2604
obese,male,pescatarian,twice a day,coal,private,often,176,rarely,5755,medium,4,7,5,16,No,3934
overweight,male,omnivore,more frequently,wood,public,never,124,frequently,847,large,4,18,10,3,Sometimes,1817
overweight,male,pescatarian,less frequently,natural gas,walk/bicycle,sometimes,170,very frequently,15,small,4,20,8,7,Sometimes,2434
normal,female,pescatarian,daily,electricity,private,sometimes,156,frequently,8328,extra large,3,12,11,10,Sometimes,3164
obese,male,vegetarian,more frequently,coal,walk/bicycle,sometimes,94,very frequently,96,large,1,10,21,12,Sometimes,2782
underweight,female,vegetarian,twice a day,wood,private,sometimes,258,rarely,8358,extra large,6,24,36,13,Sometimes,3301
overweight,female,vegan,twice a day,coal,public,often,67,frequently,1541,medium,7,20,31,8,Sometimes,2439
underweight,female,omnivore,twice a day,coal,private,never,169,very frequently,1420,small,3,2,6,24,Yes,2373
overweight,male,vegetarian,less frequently,coal,public,often,213,frequently,1402,large,4,19,5,23,No,2303
obese,female,omnivore,more frequently,electricity,public,never,180,rarely,977,medium,5,18,30,10,Yes,1633
obese,female,pescatarian,more frequently,electricity,public,never,243,very frequently,874,extra large,1,10,36,16,Sometimes,2744
normal,female,pescatarian,more frequently,wood,walk/bicycle,sometimes,184,very frequently,96,extra large,2,16,30,12,Yes,2125
obese,male,pescatarian,daily,electricity,private,never,200,frequently,4320,small,6,3,13,22,Yes,1610
underweight,female,vegan,more frequently,electricity,walk/bicycle,sometimes,174,very frequently,92,large,4,8,29,5,Yes,2025
underweight,female,vegetarian,less frequently,natural gas,private,sometimes,153,rarely,5711,extra large,4,10,48,5,Yes,1523
obese,male,omnivore,more frequently,electricity,private,sometimes,243,frequently,6615,extra large,5,5,14,22,Yes,4178
underweight,male,omnivore,less frequently,coal,private,often,158,very frequently,3320,medium,2,17,22,10,Yes,2599
overweight,male,pescatarian,twice a day,wood,public,sometimes,50,frequently,1886,large,1,15,23,23,Yes,1962
underweight,male,vegan,less frequently,coal,private,often,97,rarely,9947,large,7,19,4,8,No,3566
overweight,male,pescatarian,less frequently,coal,walk/bicycle,never,208,rarely,34,large,3,17,14,7,Sometimes,1588
obese,male,vegan,more frequently,natural gas,public,never,299,never,1660,extra large,7,2,1,18,Sometimes,2105
obese,female,omnivore,more frequently,natural gas,walk/bicycle,often,278,rarely,69,medium,2,1,20,14,Yes,1642
underweight,male,pescatarian,twice a day,natural gas,private,never,88,rarely,5165,extra large,1,13,18,17,Yes,1124
obese,female,omnivore,more frequently,coal,private,often,134,very frequently,5737,extra large,4,11,4,24,Sometimes,5565
